year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2021,1,AAPL,MSFT,AMZN,TSLA,META,GOOGL,JNJ,WMT,JPM,NVDA,V,DIS,UNH,PG,BRK-B,MA,HD,PYPL,INTC,BAC
2021,2,AAPL,MSFT,AMZN,TSLA,GOOGL,META,JPM,JNJ,DIS,WMT,V,MA,BRK-B,UNH,NVDA,PG,BAC,XOM,PYPL,HD
2021,3,AAPL,MSFT,AMZN,TSLA,META,GOOGL,JPM,JNJ,WMT,DIS,V,NVDA,BRK-B,UNH,MA,PG,BAC,HD,INTC,PYPL
2021,4,AAPL,MSFT,AMZN,TSLA,META,GOOGL,JPM,JNJ,WMT,NVDA,V,UNH,BRK-B,MA,DIS,HD,BAC,PG,PYPL,XOM
2021,5,AAPL,MSFT,AMZN,META,GOOGL,TSLA,JPM,NVDA,JNJ,BRK-B,WMT,UNH,V,BAC,MA,DIS,HD,PG,XOM,PYPL
2021,6,AAPL,MSFT,AMZN,META,GOOGL,TSLA,NVDA,JPM,JNJ,UNH,WMT,V,BRK-B,MA,DIS,PG,HD,BAC,PYPL,XOM
2021,7,AAPL,MSFT,AMZN,GOOGL,META,TSLA,NVDA,JPM,JNJ,V,WMT,UNH,BRK-B,MA,PG,HD,DIS,BAC,PYPL,ADBE
2021,8,AAPL,MSFT,AMZN,GOOGL,META,TSLA,NVDA,JPM,JNJ,WMT,UNH,BRK-B,V,PG,DIS,MA,HD,BAC,PYPL,ADBE
2021,9,AAPL,MSFT,AMZN,TSLA,GOOGL,META,NVDA,JPM,JNJ,WMT,V,BRK-B,UNH,BAC,MA,PG,HD,DIS,PYPL,XOM
2021,10,MSFT,AAPL,AMZN,TSLA,GOOGL,META,NVDA,JPM,UNH,WMT,JNJ,BRK-B,BAC,HD,PG,V,DIS,MA,XOM,NFLX
2021,11,AAPL,MSFT,AMZN,TSLA,GOOGL,NVDA,META,JPM,UNH,HD,JNJ,BRK-B,WMT,BAC,PG,V,PFE,ADBE,MA,XOM
2021,12,AAPL,MSFT,AMZN,TSLA,GOOGL,META,NVDA,UNH,JPM,JNJ,HD,BRK-B,WMT,PG,BAC,V,PFE,MA,DIS,XOM
